measurement_time,measurement_name,value
2019-09-03 03:24:00,Temp_2,29.505
2019-09-03 03:24:00,Temp_1,30.0
2019-09-03 03:42:00,Temp_2,29.595
2019-09-03 03:42:00,Temp_1,30.0
2019-09-03 03:54:00,Temp_1,30.0
2019-09-03 03:54:00,Temp_2,29.505
2019-09-03 04:12:00,Temp_1,29.895
2019-09-03 04:12:00,Temp_2,29.505
2019-09-03 04:24:00,Temp_1,30.0
2019-09-03 04:24:00,Temp_2,29.505
2019-09-03 04:42:00,Temp_2,29.505
2019-09-03 04:42:00,Temp_1,30.0
2019-09-03 04:54:00,Temp_1,30.0
2019-09-03 04:54:00,Temp_2,29.805
2019-09-03 05:12:00,Temp_1,30.0
2019-09-03 05:12:00,Temp_2,29.805
2019-09-03 05:24:00,Temp_1,30.0
2019-09-03 05:24:00,Temp_2,30.105
2019-09-03 05:42:00,Temp_1,30.105
2019-09-03 05:42:00,Temp_2,29.595
2019-09-03 05:54:00,Temp_2,29.505
2019-09-03 05:54:00,Temp_1,30.0
2019-09-03 06:12:00,Temp_1,30.0
2019-09-03 06:12:00,Temp_2,29.505
2019-09-03 06:24:00,Temp_1,30.0
2019-09-03 06:24:00,Temp_2,29.505
2019-09-03 06:42:00,Temp_2,29.505
2019-09-03 06:42:00,Temp_1,30.0
2019-09-03 06:54:00,Temp_2,29.595
2019-09-03 06:54:00,Temp_1,30.0
2019-09-03 07:12:00,Temp_2,29.505
2019-09-03 07:12:00,Temp_1,30.0
2019-09-03 07:24:00,Temp_1,30.0
2019-09-03 07:24:00,Temp_2,29.505
2019-09-03 07:42:00,Temp_2,29.505
2019-09-03 07:42:00,Temp_1,30.0
2019-09-03 07:54:00,Temp_1,30.0
2019-09-03 07:54:00,Temp_2,29.505
2019-09-03 08:12:00,Temp_1,30.0
2019-09-03 08:12:00,Temp_2,29.505
2019-09-03 08:24:00,Temp_1,30.0
2019-09-03 08:24:00,Temp_2,29.505
2019-09-03 08:42:00,Temp_2,29.505
2019-09-03 08:42:00,Temp_1,30.0
2019-09-03 08:54:00,Temp_2,29.595
2019-09-03 08:54:00,Temp_1,30.0
2019-09-03 09:12:00,Temp_2,29.505
2019-09-03 09:12:00,Temp_1,30.0
2019-09-03 09:24:00,Temp_2,29.595
2019-09-03 09:24:00,Temp_1,30.0
2019-09-03 09:42:00,Temp_1,30.0
2019-09-03 09:42:00,Temp_2,29.595
2019-09-03 09:54:00,Temp_1,30.0
2019-09-03 09:54:00,Temp_2,29.55
2019-09-03 10:12:00,Temp_1,30.0
2019-09-03 10:12:00,Temp_2,29.595
2019-09-03 10:24:00,Temp_2,29.7
2019-09-03 10:24:00,Temp_1,30.0
2019-09-03 10:42:00,Temp_2,29.7
2019-09-03 10:42:00,Temp_1,30.0
2019-09-03 10:54:00,Temp_1,29.925
2019-09-03 10:54:00,Temp_2,29.85
2019-09-03 11:12:00,Temp_2,29.775
2019-09-03 11:12:00,Temp_1,30.075
2019-09-03 11:24:00,Temp_1,30.0
2019-09-03 11:24:00,Temp_2,29.595
2019-09-03 11:42:00,Temp_1,30.0
2019-09-03 11:42:00,Temp_2,29.505
2019-09-03 11:54:00,Temp_1,30.0
2019-09-03 11:54:00,Temp_2,29.595
2019-09-03 12:12:00,Temp_2,29.505
2019-09-03 12:12:00,Temp_1,30.045
2019-09-03 12:24:00,Temp_1,30.0
2019-09-03 12:24:00,Temp_2,29.505
2019-09-03 12:42:00,Temp_1,30.0
2019-09-03 12:42:00,Temp_2,29.595
2019-09-03 12:54:00,Temp_2,29.7
2019-09-03 12:54:00,Temp_1,30.0
2019-09-03 13:12:00,Temp_2,29.505
2019-09-03 13:12:00,Temp_1,30.105
2019-09-03 13:24:00,Temp_2,29.43
2019-09-03 13:24:00,Temp_1,30.075
2019-09-03 13:42:00,Temp_2,29.7
2019-09-03 13:42:00,Temp_1,30.075
2019-09-03 13:54:00,Temp_2,29.595
2019-09-03 13:54:00,Temp_1,30.105
2019-09-03 14:12:00,Temp_1,30.105
2019-09-03 14:12:00,Temp_2,29.595
2019-09-03 14:24:00,Temp_2,29.595
2019-09-03 14:24:00,Temp_1,30.0
2019-09-03 14:42:00,Temp_2,29.505
2019-09-03 14:42:00,Temp_1,30.0
2019-09-03 14:54:00,Temp_1,30.0
2019-09-03 14:54:00,Temp_2,29.595
2019-09-03 15:12:00,Temp_2,29.595
2019-09-03 15:12:00,Temp_1,30.0
2019-09-03 15:24:00,Temp_1,29.925
2019-09-03 15:24:00,Temp_2,29.595
2019-09-03 15:42:00,Temp_2,29.7
2019-09-03 15:42:00,Temp_1,30.045
2019-09-03 15:54:00,Temp_2,29.595
2019-09-03 15:54:00,Temp_1,30.0
2019-09-03 16:12:00,Temp_1,29.925
2019-09-03 16:12:00,Temp_2,29.7
2019-09-03 16:24:00,Temp_2,29.7
2019-09-03 16:24:00,Temp_1,30.0
2019-09-03 16:42:00,Temp_1,30.0
2019-09-03 16:42:00,Temp_2,29.595
2019-09-03 16:54:00,Temp_2,29.595
2019-09-03 16:54:00,Temp_1,30.0
2019-09-03 17:12:00,Temp_2,29.7
2019-09-03 17:12:00,Temp_1,30.075
2019-09-03 17:24:00,Temp_2,29.73
2019-09-03 17:24:00,Temp_1,30.0
2019-09-03 17:42:00,Temp_1,30.0
2019-09-03 17:42:00,Temp_2,29.895
2019-09-03 17:54:00,Temp_1,30.0
2019-09-03 17:54:00,Temp_2,29.805
2019-09-03 18:12:00,Temp_2,29.7
2019-09-03 18:12:00,Temp_1,29.97
2019-09-03 18:24:00,Temp_2,29.805
2019-09-03 18:24:00,Temp_1,30.0
2019-09-03 18:42:00,Temp_2,30.195
2019-09-03 18:42:00,Temp_1,30.0
2019-09-03 18:54:00,Temp_2,29.73
2019-09-03 18:54:00,Temp_1,30.0
2019-09-03 19:12:00,Temp_1,30.0
2019-09-03 19:12:00,Temp_2,29.805
2019-09-03 19:24:00,Temp_1,30.0
2019-09-03 19:24:00,Temp_2,29.745
2019-09-03 19:42:00,Temp_2,29.7
2019-09-03 19:42:00,Temp_1,29.97
2019-09-03 19:54:00,Temp_1,30.0
2019-09-03 19:54:00,Temp_2,29.775
2019-09-03 20:12:00,Temp_1,30.0
2019-09-03 20:12:00,Temp_2,29.805
2019-09-03 20:24:00,Temp_2,29.655
2019-09-03 20:24:00,Temp_1,30.0
2019-09-03 20:42:00,Temp_1,30.0
2019-09-03 20:42:00,Temp_2,29.7
2019-09-03 20:54:00,Temp_1,30.0
2019-09-03 20:54:00,Temp_2,29.7
2019-09-03 21:12:00,Temp_2,29.7
2019-09-03 21:12:00,Temp_1,30.0
2019-09-03 21:24:00,Temp_2,29.775
2019-09-03 21:24:00,Temp_1,30.0
2019-09-03 21:42:00,Temp_2,29.895
2019-09-03 21:42:00,Temp_1,30.0
2019-09-03 21:54:00,Temp_1,30.0
2019-09-03 21:54:00,Temp_2,29.745
2019-09-03 22:12:00,Temp_2,29.805
2019-09-03 22:12:00,Temp_1,29.97
2019-09-03 22:24:00,Temp_1,30.0
2019-09-03 22:24:00,Temp_2,29.745
2019-09-03 22:42:00,Temp_1,30.0
2019-09-03 22:42:00,Temp_2,29.805
2019-09-03 22:54:00,Temp_1,30.0
2019-09-03 22:54:00,Temp_2,29.895
2019-09-03 23:12:00,Temp_2,29.895
2019-09-03 23:12:00,Temp_1,30.0
2019-09-03 23:24:00,Temp_1,30.0
2019-09-03 23:24:00,Temp_2,29.805
2019-09-03 23:42:00,Temp_2,29.805
2019-09-03 23:42:00,Temp_1,30.0
2019-09-03 23:54:00,Temp_1,30.0
2019-09-03 23:54:00,Temp_2,29.895
2019-09-04 00:12:00,Temp_2,30.195
2019-09-04 00:12:00,Temp_1,29.88
2019-09-04 00:24:00,Temp_1,30.0
2019-09-04 00:24:00,Temp_2,29.895
2019-09-04 00:42:00,Temp_1,30.0
2019-09-04 00:42:00,Temp_2,30.105
2019-09-04 00:54:00,Temp_1,30.0
2019-09-04 00:54:00,Temp_2,30.0
2019-09-04 01:12:00,Temp_2,30.0
2019-09-04 01:12:00,Temp_1,30.0
2019-09-04 01:24:00,Temp_1,30.0
2019-09-04 01:24:00,Temp_2,30.105
2019-09-04 01:42:00,Temp_2,30.0
2019-09-04 01:42:00,Temp_1,30.0
2019-09-04 01:54:00,Temp_1,29.97
2019-09-04 01:54:00,Temp_2,29.895
2019-09-04 02:12:00,Temp_2,30.0
2019-09-04 02:12:00,Temp_1,30.0
2019-09-04 02:24:00,Temp_2,30.045
2019-09-04 02:24:00,Temp_1,30.0
2019-09-04 02:42:00,Temp_1,30.0
2019-09-04 02:42:00,Temp_2,30.0
2019-09-04 02:54:00,Temp_2,30.0
2019-09-04 02:54:00,Temp_1,30.0
2019-09-04 03:12:00,Temp_2,30.105
2019-09-04 03:12:00,Temp_1,30.0
2019-09-04 03:24:00,Temp_1,30.0
2019-09-04 03:24:00,Temp_2,30.0
2019-09-04 03:42:00,Temp_2,30.105
